aaa,8
aad,0
aam,0
aas,6
adc,992
adcx,0
add,9496
addpd,0
addps,0
addsd,0
addss,0
addsubpd,0
addsubps,0
adox,0
aesdec,0
aesdeclast,0
aesenc,0
aesenclast,0
aesimc,0
aeskeygenassist,0
and,2727
andn,0
andnpd,0
andnps,0
andpd,0
andps,0
arpl,0
bextr,0
blendpd,0
blendps,0
blendvpd,0
blendvps,0
blsi,0
blsmsk,0
blsr,0
bound,0
bsf,0
bsr,28
bswap,0
bt,0
btc,0
btr,0
bts,0
bzhi,0
call,17154
cbw,337
cdq,0
cdqe,0
clac,0
clc,447
cld,1433
clflush,0
cli,947
clts,0
cmc,42
cmovcc,0
cmp,16861
cmppd,0
cmpps,0
cmps,2
cmpsb,21
cmpsd,0
cmpsq,0
cmpss,0
cmpsw,29
cmpxchg,0
cmpxchg16b,0
cmpxchg8b,0
comisd,0
comiss,0
cpuid,0
cqo,0
crc32,0
cvtdq2pd,0
cvtdq2ps,0
cvtpd2dq,0
cvtpd2pi,0
cvtpd2ps,0
cvtpi2pd,0
cvtpi2ps,0
cvtps2dq,0
cvtps2pd,0
cvtps2pi,0
cvtsd2si,0
cvtsd2ss,0
cvtsi2sd,0
cvtsi2ss,0
cvtss2sd,0
cvtss2si,0
cvttpd2dq,0
cvttpd2pi,0
cvttps2dq,0
cvttps2pi,0
cvttsd2si,0
cvttss2si,0
cwd,723
cwde,0
daa,8
das,11
dec,3043
div,699
divpd,0
divps,0
divsd,0
divss,0
dppd,0
dpps,0
emms,0
enter,2
extractps,0
f2xm1,0
fabs,0
fadd,0
faddp,0
fbld,0
fbstp,0
fchs,0
fclex,0
fcmovcc,0
fcom,0
fcomi,0
fcomip,0
fcomp,0
fcompp,0
fcos,0
fdecstp,0
fdiv,0
fdivp,0
fdivr,0
fdivrp,0
ffree,0
fiadd,0
ficom,0
ficomp,0
fidiv,0
fidivr,0
fild,0
fimul,0
fincstp,0
finit,0
fist,0
fistp,0
fisttp,0
fisub,0
fisubr,0
fld,0
fld1,0
fldcw,0
fldenv,0
fldl2e,0
fldl2t,0
fldlg2,0
fldln2,0
fldpi,0
fldz,0
fmul,0
fmulp,0
fnclex,0
fninit,0
fnop,0
fnsave,0
fnstcw,0
fnstenv,0
fnstsw,0
fpatan,0
fprem,0
fprem1,0
fptan,0
frndint,0
frstor,0
fsave,0
fscale,0
fsin,0
fsincos,0
fsqrt,0
fst,0
fstcw,0
fstenv,0
fstp,0
fstsw,0
fsub,0
fsubp,0
fsubr,0
fsubrp,0
ftst,0
fucom,0
fucomi,0
fucomip,0
fucomp,0
fucompp,0
fwait,0
fxam,0
fxch,0
fxrstor,0
fxsave,0
fxtract,0
fyl2x,0
fyl2xp1,0
haddpd,0
haddps,0
hlt,35
hsubpd,0
hsubps,0
idiv,7
imul,49
in,434
inc,5302
ins,0
insb,0
insd,0
insertps,0
inst,2
insw,0
int 3,0
int n,0
into,10
invd,0
invlpg,0
invpcid,0
iret,1127
iretd,1
jcc,0
jmp,10666
lahf,70
lar,0
lddqu,0
ldmxcsr,0
lds,834
lea,6614
leave,6
les,746
lfence,0
lfs,0
lgdt,0
lgs,0
lidt,0
lldt,0
lmsw,0
lock,2
lods,8
lodsb,1141
lodsd,5
lodsq,0
lodsw,1095
loop,1632
loopcc,0
lsl,0
lss,5
ltr,0
lzcnt,0
maskmovdqu,0
maskmovq,0
maxpd,0
maxps,0
maxsd,0
maxss,0
mfence,0
minpd,0
minps,0
minsd,0
minss,0
monitor,0
mov,109302
movapd,0
movaps,0
movbe,0
movd,0
movddup,0
movdq2q,0
movdqa,0
movdqu,0
movhlps,0
movhpd,0
movhps,0
movlhps,0
movlpd,0
movlps,0
movmskpd,0
movmskps,0
movntdq,0
movntdqa,0
movnti,0
movntpd,0
movntps,0
movntq,0
movq,0
movq2dq,0
movs,10
movsb,517
movsd,22
movshdup,0
movsldup,0
movsq,0
movss,0
movsw,1725
movsx,0
movsxd,0
movupd,0
movups,0
movzx,0
mpsadbw,0
mul,576
mulpd,0
mulps,0
mulsd,0
mulss,0
mulx,0
mwait,0
neg,162
nop,1999
not,247
or,2768
orpd,0
orps,0
out,745
outs,0
outsb,0
outsd,0
outsw,0
pabsb,0
pabsd,0
pabsw,0
packssdw,0
packsswb,0
packusdw,0
packuswb,0
paddb,0
paddd,0
paddq,0
paddsb,0
paddsw,0
paddusb,0
paddusw,0
paddw,0
palignr,0
pand,0
pandn,0
pause,4
pavgb,0
pavgw,0
pblendvb,0
pblendw,0
pclmulqdq,0
pcmpeqb,0
pcmpeqd,0
pcmpeqq,0
pcmpeqw,0
pcmpestri,0
pcmpestrm,0
pcmpgtb,0
pcmpgtd,0
pcmpgtq,0
pcmpgtw,0
pcmpistri,0
pcmpistrm,0
pdep,0
pext,0
pextrb,0
pextrd,0
pextrq,0
pextrw,0
phaddd,0
phaddsw,0
phaddw,0
phminposuw,0
phsubd,0
phsubsw,0
phsubw,0
pinsrb,0
pinsrd,0
pinsrq,0
pinsrw,0
pmaddubsw,0
pmaddwd,0
pmaxsb,0
pmaxsd,0
pmaxsw,0
pmaxub,0
pmaxud,0
pmaxuw,0
pminsb,0
pminsd,0
pminsw,0
pminub,0
pminud,0
pminuw,0
pmovmskb,0
pmovsx,0
pmovzx,0
pmuldq,0
pmulhrsw,0
pmulhuw,0
pmulhw,0
pmulld,0
pmullw,0
pmuludq,0
pop,27451
popa,535
popad,0
popcnt,0
popf,1518
popfd,2
popfq,0
por,0
prefetchh,0
prefetchw,0
prefetchwt1,0
psadbw,0
pshufb,0
pshufd,0
pshufhw,0
pshuflw,0
pshufw,0
psignb,0
psignd,0
psignw,0
pslld,0
pslldq,0
psllq,0
psllw,0
psrad,0
psraw,0
psrld,0
psrldq,0
psrlq,0
psrlw,0
psubb,0
psubd,0
psubq,0
psubsb,0
psubsw,0
psubusb,0
psubusw,0
psubw,0
ptest,0
punpckhbw,0
punpckhdq,0
punpckhqdq,0
punpckhwd,0
punpcklbw,0
punpckldq,0
punpcklqdq,0
punpcklwd,0
push,28638
pusha,496
pushad,0
pushf,2028
pushfd,2
pxor,0
rcl,162
rcpps,0
rcpss,0
rcr,71
rdfsbase,0
rdgsbase,0
rdmsr,0
rdpmc,0
rdrand,0
rdseed,0
rdtsc,0
rdtscp,0
rep,2054
repe,241
repne,341
repnz,183
repz,372
ret,4801
rol,91
ror,214
rorx,0
roundpd,0
roundps,0
roundsd,0
roundss,0
rsm,0
rsqrtps,0
rsqrtss,0
sahf,53
sal,39
sar,25
sarx,0
sbb,734
scas,0
scasb,165
scasd,3
scasw,140
setcc,0
sfence,0
sgdt,0
shl,864
shld,0
shlx,0
shr,819
shrd,0
shrx,0
shufpd,0
shufps,0
sidt,0
sldt,0
smsw,1
sqrtpd,0
sqrtps,0
sqrtsd,0
sqrtss,0
stac,0
stc,689
std,173
sti,865
stmxcsr,0
stos,0
stosb,1345
stosd,0
stosq,0
stosw,1344
str,0
sub,5877
subpd,0
subps,0
subsd,0
subss,0
swapgs,0
syscall,0
sysenter,0
sysexit,0
sysret,0
test,1791
tzcnt,0
ucomisd,0
ucomiss,0
ud2,0
unpckhpd,0
unpckhps,0
unpcklpd,0
unpcklps,0
vbroadcast,0
vcvtph2ps,0
vcvtps2ph,0
verr,0
verw,0
vextractf128,0
vextracti128,0
vfmadd132pd,0
vfmadd132ps,0
vfmadd132sd,0
vfmadd132ss,0
vfmadd213pd,0
vfmadd213ps,0
vfmadd213sd,0
vfmadd213ss,0
vfmadd231pd,0
vfmadd231ps,0
vfmadd231sd,0
vfmadd231ss,0
vfmaddsub132pd,0
vfmaddsub132ps,0
vfmaddsub213pd,0
vfmaddsub213ps,0
vfmaddsub231pd,0
vfmaddsub231ps,0
vfmsub132pd,0
vfmsub132ps,0
vfmsub132sd,0
vfmsub132ss,0
vfmsub213pd,0
vfmsub213ps,0
vfmsub213sd,0
vfmsub213ss,0
vfmsub231pd,0
vfmsub231ps,0
vfmsub231sd,0
vfmsub231ss,0
vfmsubadd132pd,0
vfmsubadd132ps,0
vfmsubadd213pd,0
vfmsubadd213ps,0
vfmsubadd231pd,0
vfmsubadd231ps,0
vfnmadd132pd,0
vfnmadd132ps,0
vfnmadd132sd,0
vfnmadd132ss,0
vfnmadd213pd,0
vfnmadd213ps,0
vfnmadd213sd,0
vfnmadd213ss,0
vfnmadd231pd,0
vfnmadd231ps,0
vfnmadd231sd,0
vfnmadd231ss,0
vfnmsub132pd,0
vfnmsub132ps,0
vfnmsub132sd,0
vfnmsub132ss,0
vfnmsub213pd,0
vfnmsub213ps,0
vfnmsub213sd,0
vfnmsub213ss,0
vfnmsub231pd,0
vfnmsub231ps,0
vfnmsub231sd,0
vfnmsub231ss,0
vgatherdpd,0
vgatherdps,0
vgatherqpd,0
vgatherqps,0
vinsertf128,0
vinserti128,0
vmaskmov,0
vpblendd,0
vpbroadcast,0
vperm2f128,0
vperm2i128,0
vpermd,0
vpermilpd,0
vpermilps,0
vpermpd,0
vpermps,0
vpermq,0
vpgatherdd,0
vpgatherdq,0
vpgatherqd,0
vpgatherqq,0
vpmaskmov,0
vpsllvd,0
vpsllvq,0
vpsravd,0
vpsrlvd,0
vpsrlvq,0
vtestpd,0
vtestps,0
vzeroall,0
vzeroupper,0
wait,0
wbinvd,0
wrfsbase,0
wrgsbase,0
wrmsr,0
xabort,0
xacquire,0
xadd,0
xbegin,0
xchg,3363
xend,0
xgetbv,0
xlat,62
xlatb,0
xor,10680
xorpd,0
xorps,0
xrelease,0
xrstor,0
xrstors,0
xsave,0
xsavec,0
xsaveopt,0
xsaves,0
xsetbv,0
xtest,0
